time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-10 00:00:00+00:00,2.0,2.0,36.0,1.0
2023-03-11 00:00:00+00:00,,,1.0,1.0
2023-03-12 00:00:00+00:00,4.0,3.0,14.0,1.0
2023-03-13 00:00:00+00:00,18.0,10.0,92.0,4.0
2023-03-15 00:00:00+00:00,,,1.0,1.0
2023-03-17 00:00:00+00:00,1.0,1.0,,
2023-03-18 00:00:00+00:00,2.0,2.0,,
2023-03-19 00:00:00+00:00,1.0,1.0,8.0,1.0
2023-03-20 00:00:00+00:00,1.0,1.0,6.0,1.0
2023-03-21 00:00:00+00:00,1.0,1.0,,
2023-03-23 00:00:00+00:00,5.0,3.0,43.0,2.0
