time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-10 00:00:00+00:00,2,2,36,1
2023-03-11 00:00:00+00:00,0,0,1,1
2023-03-12 00:00:00+00:00,4,3,14,1
2023-03-13 00:00:00+00:00,18,10,92,4
2023-03-15 00:00:00+00:00,0,0,1,1
2023-03-17 00:00:00+00:00,1,1,0,0
2023-03-18 00:00:00+00:00,2,2,0,0
2023-03-19 00:00:00+00:00,1,1,8,1
2023-03-20 00:00:00+00:00,1,1,6,1
2023-03-21 00:00:00+00:00,1,1,0,0
2023-03-23 00:00:00+00:00,6,4,43,2
2023-03-24 00:00:00+00:00,2,2,1,1
2023-03-25 00:00:00+00:00,1,1,12,4
2023-03-26 00:00:00+00:00,1,1,2,2
2023-03-27 00:00:00+00:00,4,4,11,3
2023-03-28 00:00:00+00:00,1,1,3,3
2023-03-29 00:00:00+00:00,1,1,16,3
2023-03-30 00:00:00+00:00,3,3,37,2
2023-03-31 00:00:00+00:00,1,1,122,1
2023-04-01 00:00:00+00:00,1,1,15,2
2023-04-02 00:00:00+00:00,1,1,0,0
2023-04-03 00:00:00+00:00,1,1,75,1
2023-04-04 00:00:00+00:00,1,1,57,4
2023-04-05 00:00:00+00:00,1,1,1,1
2023-04-06 00:00:00+00:00,1,1,0,0
2023-04-07 00:00:00+00:00,1,1,7,1
2023-04-08 00:00:00+00:00,1,1,13,2
2023-04-09 00:00:00+00:00,1,1,0,0
2023-04-10 00:00:00+00:00,1,1,8,2
2023-04-11 00:00:00+00:00,2,2,17,2
2023-04-12 00:00:00+00:00,3,3,0,0
2023-04-13 00:00:00+00:00,1,1,5,1
2023-04-14 00:00:00+00:00,1,1,18,1
2023-04-15 00:00:00+00:00,1,1,0,0
2023-04-16 00:00:00+00:00,1,1,15,2
2023-04-17 00:00:00+00:00,2,2,0,0
2023-04-18 00:00:00+00:00,1,1,0,0
2023-04-19 00:00:00+00:00,1,1,0,0
2023-04-20 00:00:00+00:00,1,1,2,1
2023-04-21 00:00:00+00:00,1,1,1,1
2023-04-22 00:00:00+00:00,1,1,0,0
2023-04-23 00:00:00+00:00,3,3,0,0
2023-04-24 00:00:00+00:00,2,2,0,0
2023-04-25 00:00:00+00:00,1,1,0,0
2023-04-26 00:00:00+00:00,1,1,0,0
2023-04-27 00:00:00+00:00,1,1,2,1
2023-04-28 00:00:00+00:00,1,1,0,0
2023-04-29 00:00:00+00:00,1,1,0,0
2023-04-30 00:00:00+00:00,1,1,0,0
2023-05-01 00:00:00+00:00,2,2,0,0
